Simpson_Race_DI,Simpson_Ethnic_DI,Shannon_Race_DI,Shannon_Ethnic_DI,Gini_Index,Num_Contaminants,Sum_ContaminantFactor,Avg_Contaminant_Factor,Target,Label
0.30941327939339736,0.2178255743095885,0.9481241573383041,0.37556938834972386,0.4428,4,4744,1186.0,0,Low Priority
0.5733948419615731,0.1419424584074288,1.3050867447880286,0.27108635147975196,0.4191,9,4987,554.11,1,High Priority
0.6187087896092828,0.197811277740922,1.464586638405741,0.34920640741246206,0.4607,20,15583,779.15,1,High Priority
0.43090999786841955,0.2002625166545997,1.1619432918675532,0.35247527301091264,0.4561,11,5456,496.0,1,High Priority
0.29028823025470496,0.237761671562984,0.9194843345646398,0.40112358728417674,0.4287,1,42,42.0,0,Low Priority
0.13916656331390298,0.03220637479846211,0.43625800880536025,0.08352763995020301,0.4784,3,760,253.33,0,Low Priority
0.14497587282842128,0.03351391339051657,0.4472706052651555,0.08630837506259922,0.4265,4,7408,1852.0,0,Low Priority
0.07017083669626045,0.04552506501659048,0.31515096103883694,0.1105450148799697,0.4492,1,343,343.0,0,Low Priority
0.1829785439258078,0.04323718008747246,0.5303449861989523,0.1061174201228555,0.437,10,11277,1127.7,0,Low Priority
0.12759987207226842,0.08251338685095888,0.4726344408234411,0.17767572817167268,0.3932,2,786,393.0,0,Low Priority
0.2475398548148584,0.06068435694633556,0.7115408613350739,0.13931139387277525,0.4317,4,5177,1294.25,0,Low Priority
0.3186583003485791,0.06476002233127254,0.8413158571482765,0.1467130475124593,0.4548,22,18051,820.5,0,Low Priority
0.14086346681100925,0.07646187100565371,0.49052784412879236,0.16733335840679123,0.4255,9,4384,487.11,0,Low Priority
0.18834150432741226,0.06349002245161783,0.5605053468768766,0.1443709469110996,0.4723,4,5259,1314.75,0,Low Priority
0.12635493167239942,0.05380151130825106,0.41348597515980806,0.12647512783161916,0.4201,3,892,297.33,0,Low Priority
0.31852205135234535,0.09496439665021228,0.8922410858217006,0.19845487731883804,0.4603,6,4142,690.33,0,Low Priority
0.1045613438391626,0.022353230164578686,0.3372887789982417,0.061890750665722645,0.4845,2,648,324.0,0,Low Priority
0.10037924662402276,0.036636815920398025,0.3437049153604613,0.09276421922383213,0.4358,1,1551,1551.0,0,Low Priority
0.10652338017338792,0.04103576379609186,0.37533382321204584,0.10170834999689948,0.443,5,2487,497.4,0,Low Priority
0.25118637473684735,0.029837925128220255,0.610742665984536,0.07849634418672018,0.4007,7,6705,957.86,0,Low Priority
0.16413996297738698,0.05085842687603592,0.5055413477643623,0.12094046709751352,0.4077,6,3733,622.17,0,Low Priority
0.22887145737868708,0.07571607169702699,0.6794390608448992,0.16606470402421006,0.4321,9,5812,645.78,0,Low Priority
0.0973081947044252,0.04473848408917591,0.3572891033752112,0.10906617196535932,0.4688,3,2409,803.0,0,Low Priority
0.18243948155734357,0.0684998248689207,0.5548353886200591,0.15338751866063324,0.4204,11,9428,857.09,0,Low Priority
0.16671297195106094,0.035447857548106865,0.4986960601518211,0.0903302809341015,0.4415,1,1557,1557.0,0,Low Priority
0.32310671222584253,0.04611008609401057,0.7658433598937505,0.11177603773451494,0.5002,3,2114,704.67,0,Low Priority
0.10239830821256057,0.04422380290164618,0.36542440595154313,0.10806637711688079,0.4072,14,13126,937.57,0,Low Priority
0.3822577137867337,0.022232055851675425,0.7467397070575638,0.06163147671141525,0.4961,2,2796,1398.0,0,Low Priority
0.12964123166091057,0.046027337068248464,0.42332127653525,0.11159884329547738,0.3706,10,11056,1105.6,0,Low Priority
0.2567605055420801,0.03181000027253866,0.5879945571725808,0.08270098237872492,0.5131,3,1283,427.67,0,Low Priority
0.07138408374018046,0.0224378679203584,0.2753829852997523,0.062033840805459234,0.4129,1,414,414.0,0,Low Priority
0.25588054490254575,0.12604008550487467,0.7984697337140476,0.24734955001217895,0.4615,8,2852,356.5,0,Low Priority
0.07135238993675652,0.03926455104075943,0.2883032429558743,0.09812568175537431,0.3791,5,673,134.6,0,Low Priority
0.16371559217204767,0.053419291964841076,0.5192590610422925,0.12580814560850404,0.4674,6,6094,1015.67,0,Low Priority
0.15291983317073632,0.030972059137660657,0.4529780786085767,0.0809037051283414,0.482,1,789,789.0,0,Low Priority
0.13915495324253346,0.07152819876237981,0.47462373673257685,0.15874239237189605,0.3938,5,6229,1245.8,0,Low Priority
0.25273787164928485,0.2181490367270592,0.8307218902213069,0.3759634161661112,0.4514,4,5372,1343.0,1,High Priority
0.3251705236514786,0.12267737838044357,0.9276007533560806,0.2422317141818407,0.4314,7,7497,1071.0,1,High Priority
0.08783270005151289,0.018908499450743577,0.2850054047145361,0.05389059038023267,0.4652,6,3345,557.5,0,Low Priority
0.19870593914614076,0.07358142357097519,0.600452012129373,0.16235275690463913,0.4934,2,3377,1688.5,0,Low Priority
0.2487291415502546,0.10702723767940547,0.7463218597567624,0.21787861474548254,0.444,3,3208,1069.33,0,Low Priority
0.284398783576417,0.1220633394150179,0.8328599890586903,0.24129304889356135,0.4808,7,10514,1502.0,1,High Priority
0.5872439938347445,0.3675334693062199,1.5559799165651125,0.5541053289955868,0.4638,17,21227,1248.65,1,High Priority
0.19573669660864357,0.0680322257243583,0.6025059314018412,0.15257270509708065,0.4397,10,13809,1380.9,0,Low Priority
0.4507852078146838,0.034217103092590184,0.8655896258535667,0.08778442138473166,0.4973,7,7381,1054.43,0,Low Priority
0.5143142652301316,0.12723428619577815,1.1684094289856681,0.24916369016790252,0.4491,19,5370,282.63,1,High Priority
